season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
1950,1,silverstone,False,False,False,False,False,farina,Italian,alfa,1,1,0,0,0,0,0,0,43
1950,1,silverstone,False,False,False,False,False,fagioli,Italian,alfa,2,2,0,0,0,0,0,0,51
1950,1,silverstone,False,False,False,False,False,reg_parnell,British,alfa,4,3,0,0,0,0,0,0,38
1950,1,silverstone,False,False,False,False,False,cabantous,French,lago,6,4,0,0,0,0,0,0,45
1950,1,silverstone,False,False,False,False,False,rosier,French,lago,9,5,0,0,0,0,0,0,44
1950,1,silverstone,False,False,False,False,False,gerard,British,era,13,6,0,0,0,0,0,0,36
1950,1,silverstone,False,False,False,False,False,harrison,British,era,15,7,0,0,0,0,0,0,43
1950,1,silverstone,False,False,False,False,False,etancelin,French,lago,14,8,0,0,0,0,0,0,53
1950,1,silverstone,False,False,False,False,False,hampshire,British,maserati,16,9,0,0,0,0,0,0,32
1950,1,silverstone,False,False,False,False,False,shawe_taylor,British,maserati,20,10,0,0,0,0,0,0,35
1950,1,silverstone,False,False,False,False,False,fry,British,maserati,20,10,0,0,0,0,0,0,34
1950,1,silverstone,False,False,False,False,False,claes,Belgian,lago,21,11,0,0,0,0,0,0,33
1950,1,silverstone,False,False,False,False,False,fangio,Argentine,alfa,3,12,0,0,0,0,0,0,38
1950,1,silverstone,False,False,False,False,False,kelly,Irish,alta,19,13,0,0,0,0,0,0,37
1950,1,silverstone,False,False,False,False,False,bira,Thai,maserati,5,14,0,0,0,0,0,0,35
1950,1,silverstone,False,False,False,False,False,murray,British,maserati,18,15,0,0,0,0,0,0,40
1950,1,silverstone,False,False,False,False,False,crossley,British,alta,17,16,0,0,0,0,0,0,29
1950,1,silverstone,False,False,False,False,False,graffenried,Swiss,maserati,8,17,0,0,0,0,0,0,35
1950,1,silverstone,False,False,False,False,False,chiron,Monegasque,maserati,11,18,0,0,0,0,0,0,50
1950,1,silverstone,False,False,False,False,False,martin,French,lago,7,19,0,0,0,0,0,0,35
1950,1,silverstone,False,False,False,False,False,rolt,British,era,10,20,0,0,0,0,0,0,31
1950,1,silverstone,False,False,False,False,False,peter_walker,British,era,10,20,0,0,0,0,0,0,37
1950,1,silverstone,False,False,False,False,False,leslie_johnson,British,era,12,21,0,0,0,0,0,0,38
1950,2,monaco,True,False,False,False,False,fangio,Argentine,alfa,1,1,0,0,13,0,0,0,38
1950,2,monaco,True,False,False,False,False,ascari,Italian,ferrari,7,2,0,0,0,0,0,0,31
1950,2,monaco,True,False,False,False,False,chiron,Monegasque,maserati,8,3,0,0,19,0,0,0,50
1950,2,monaco,True,False,False,False,False,sommer,French,ferrari,9,4,0,0,0,0,0,0,43
1950,2,monaco,True,False,False,False,False,bira,Thai,maserati,15,5,0,0,15,0,0,0,35
1950,2,monaco,True,False,False,False,False,gerard,British,era,16,6,0,0,6,0,0,0,36
1950,2,monaco,True,False,False,False,False,claes,Belgian,lago,19,7,0,0,12,0,0,0,33
1950,2,monaco,True,False,False,False,False,villoresi,Italian,ferrari,6,8,0,0,0,0,0,0,41
1950,2,monaco,True,False,False,False,False,etancelin,French,lago,4,9,0,0,8,0,0,0,53
1950,2,monaco,True,False,False,False,False,gonzalez,Argentine,maserati,3,10,0,0,0,0,0,0,27
1950,2,monaco,True,False,False,False,False,farina,Italian,alfa,2,11,9,1,1,0,0,0,43
1950,2,monaco,True,False,False,False,False,fagioli,Italian,alfa,5,12,6,0,2,0,0,0,51
1950,2,monaco,True,False,False,False,False,rosier,French,lago,10,13,2,0,5,0,0,0,44
1950,2,monaco,True,False,False,False,False,manzon,French,simca,11,14,0,0,0,0,0,0,33
1950,2,monaco,True,False,False,False,False,graffenried,Swiss,maserati,12,15,0,0,18,0,0,0,36
1950,2,monaco,True,False,False,False,False,trintignant,French,simca,13,16,0,0,0,0,0,0,32
1950,2,monaco,True,False,False,False,False,harrison,British,era,14,17,0,0,7,0,0,0,43
1950,2,monaco,True,False,False,False,False,rol,Italian,maserati,17,18,0,0,0,0,0,0,41
1950,2,monaco,True,False,False,False,False,schell,American,cooper,20,19,0,0,0,0,0,0,28
1950,2,monaco,True,False,False,False,False,whitehead,British,ferrari,21,20,0,0,0,0,0,0,35
1950,2,monaco,True,False,False,False,False,pian,Argentine,maserati,18,21,0,0,0,0,0,0,37
1950,3,indianapolis,False,False,False,True,False,parsons,American,kurtis_kraft,5,1,0,0,0,0,0,0,31
1950,3,indianapolis,False,False,False,True,False,holland,American,deidt,10,2,0,0,0,0,0,0,42
1950,3,indianapolis,False,False,False,True,False,rose,American,deidt,3,3,0,0,0,0,0,0,44
1950,3,indianapolis,False,False,False,True,False,green,American,kurtis_kraft,12,4,0,0,0,0,0,0,30
1950,3,indianapolis,False,False,False,True,False,bettenhausen,American,kurtis_kraft,9,5,0,0,0,0,0,0,33
1950,3,indianapolis,False,False,False,True,False,chitwood,American,kurtis_kraft,9,5,0,0,0,0,0,0,38
1950,3,indianapolis,False,False,False,True,False,wallard,American,moore,23,6,0,0,0,0,0,0,39
1950,3,indianapolis,False,False,False,True,False,faulkner,American,kurtis_kraft,1,7,0,0,0,0,0,0,30
1950,3,indianapolis,False,False,False,True,False,george_connor,American,lesovsky,4,8,0,0,0,0,0,0,43
1950,3,indianapolis,False,False,False,True,False,paul_russo,American,nichels,19,9,0,0,0,0,0,0,36
1950,3,indianapolis,False,False,False,True,False,flaherty,American,kurtis_kraft,11,10,0,0,0,0,0,0,24
1950,3,indianapolis,False,False,False,True,False,fohr,American,marchese,16,11,0,0,0,0,0,0,37
1950,3,indianapolis,False,False,False,True,False,darter,American,stevens,13,12,0,0,0,0,0,0,37
1950,3,indianapolis,False,False,False,True,False,hellings,American,kurtis_kraft,26,13,0,0,0,0,0,0,34
1950,3,indianapolis,False,False,False,True,False,mcgrath,American,kurtis_kraft,6,14,0,0,0,0,0,0,30
1950,3,indianapolis,False,False,False,True,False,ruttman,American,lesovsky,24,15,0,0,0,0,0,0,20
1950,3,indianapolis,False,False,False,True,False,hartley,American,langley,31,16,0,0,0,0,0,0,24
1950,3,indianapolis,False,False,False,True,False,davies,American,ewing,27,17,0,0,0,0,0,0,20
1950,3,indianapolis,False,False,False,True,False,mcdowell,American,kurtis_kraft,33,18,0,0,0,0,0,0,35
1950,3,indianapolis,False,False,False,True,False,walt_brown,American,kurtis_kraft,20,19,0,0,0,0,0,0,38
1950,3,indianapolis,False,False,False,True,False,webb,American,maserati,14,20,0,0,0,0,0,0,39
1950,3,indianapolis,False,False,False,True,False,hoyt,American,kurtis_kraft,15,21,0,0,0,0,0,0,21
1950,3,indianapolis,False,False,False,True,False,ader,American,rae,29,22,0,0,0,0,0,0,36
1950,3,indianapolis,False,False,False,True,False,holmes,American,olson,30,23,0,0,0,0,0,0,29
1950,3,indianapolis,False,False,False,True,False,rathmann,American,wetteroth,28,24,0,0,0,0,0,0,21
1950,3,indianapolis,False,False,False,True,False,banks,American,maserati,21,25,0,0,0,0,0,0,36
1950,3,indianapolis,False,False,False,True,False,schindler,American,snowberger,22,26,0,0,0,0,0,0,41
1950,3,indianapolis,False,False,False,True,False,levrett,American,adams,17,27,0,0,0,0,0,0,36
1950,3,indianapolis,False,False,False,True,False,cantrell,American,adams,17,27,0,0,0,0,0,0,42
1950,3,indianapolis,False,False,False,True,False,agabashian,American,kurtis_kraft,2,28,0,0,0,0,0,0,36
1950,4,bremgarten,True,False,True,False,False,farina,Italian,alfa,2,1,9,1,1,0,0,0,43
1950,4,bremgarten,True,False,True,False,False,fagioli,Italian,alfa,3,2,6,0,4,0,0,0,51
1950,4,bremgarten,True,False,True,False,False,rosier,French,lago,10,3,2,0,13,0,0,0,44
1950,4,bremgarten,True,False,True,False,False,bira,Thai,maserati,8,4,2,0,14,0,0,0,35
1950,4,bremgarten,True,False,True,False,False,bonetto,Italian,maserati,12,5,0,0,0,0,0,0,46
1950,4,bremgarten,True,False,True,False,False,graffenried,Swiss,maserati,11,6,0,0,0,0,0,0,36
1950,4,bremgarten,True,False,True,False,False,pagani,Italian,maserati,15,7,0,0,0,0,0,0,38
1950,4,bremgarten,True,False,True,False,False,schell,American,lago,18,8,0,0,0,0,0,0,28
1950,4,bremgarten,True,False,True,False,False,chiron,Monegasque,maserati,16,9,4,0,7,0,0,0,50
1950,4,bremgarten,True,False,True,False,False,claes,Belgian,lago,14,10,0,0,19,0,0,0,33
1950,4,bremgarten,True,False,True,False,False,branca,Swiss,maserati,17,11,0,0,0,0,0,0,33
1950,4,bremgarten,True,False,True,False,False,fangio,Argentine,alfa,1,12,9,1,2,0,0,0,38
1950,4,bremgarten,True,False,True,False,False,etancelin,French,lago,6,13,0,0,22,0,0,0,53
1950,4,bremgarten,True,False,True,False,False,martin,French,lago,9,14,0,0,0,0,0,0,35
1950,4,bremgarten,True,False,True,False,False,sommer,French,ferrari,13,15,3,0,12,0,0,0,43
1950,4,bremgarten,True,False,True,False,False,villoresi,Italian,ferrari,4,16,0,0,0,0,0,0,41
1950,4,bremgarten,True,False,True,False,False,ascari,Italian,ferrari,5,17,6,0,5,0,0,0,31
1950,4,bremgarten,True,False,True,False,False,cabantous,French,lago,7,18,3,0,10,0,0,0,45
1950,5,spa,True,False,True,False,False,fangio,Argentine,alfa,2,1,9,1,3,0,0,0,38
1950,5,spa,True,False,True,False,False,fagioli,Italian,alfa,3,2,12,0,2,0,0,0,52
1950,5,spa,True,False,True,False,False,rosier,French,lago,8,3,6,0,7,0,0,0,44
1950,5,spa,True,False,True,False,False,farina,Italian,alfa,1,4,18,2,1,0,0,0,43
1950,5,spa,True,False,True,False,False,ascari,Italian,ferrari,7,5,6,0,5,0,0,0,31
1950,5,spa,True,False,True,False,False,villoresi,Italian,ferrari,4,6,0,0,0,0,0,0,41
1950,5,spa,True,False,True,False,False,levegh,French,lago,10,7,0,0,0,0,0,0,44
1950,5,spa,True,False,True,False,False,claes,Belgian,lago,14,8,0,0,21,0,0,0,33
1950,5,spa,True,False,True,False,False,crossley,British,alta,12,9,0,0,0,0,0,0,29
1950,5,spa,True,False,True,False,False,branca,Swiss,maserati,11,10,0,0,0,0,0,0,33
1950,5,spa,True,False,True,False,False,chaboud,French,lago,13,11,0,0,0,0,0,0,43
1950,5,spa,True,False,True,False,False,sommer,French,lago,5,12,3,0,12,0,0,0,43
1950,5,spa,True,False,True,False,False,etancelin,French,lago,6,13,0,0,25,0,0,0,53
1950,5,spa,True,False,True,False,False,cabantous,French,lago,9,14,3,0,13,0,0,0,45
1950,6,reims,True,False,False,False,False,fangio,Argentine,alfa,1,1,17,2,3,0,0,0,39
1950,6,reims,True,False,False,False,False,fagioli,Italian,alfa,3,2,18,0,2,0,0,0,52
1950,6,reims,True,False,False,False,False,whitehead,British,ferrari,18,3,0,0,0,0,0,0,35
1950,6,reims,True,False,False,False,False,manzon,French,simca,12,4,0,0,0,0,0,0,33
1950,6,reims,True,False,False,False,False,chaboud,French,lago,4,5,0,0,0,0,0,0,43
1950,6,reims,True,False,False,False,False,etancelin,French,lago,4,5,0,0,27,0,0,0,53
1950,6,reims,True,False,False,False,False,pozzi,French,lago,15,6,0,0,0,0,0,0,40
1950,6,reims,True,False,False,False,False,rosier,French,lago,15,6,10,0,4,0,0,0,44
1950,6,reims,True,False,False,False,False,farina,Italian,alfa,2,7,22,2,1,0,0,0,43
1950,6,reims,True,False,False,False,False,cabantous,French,lago,5,8,3,0,13,0,0,0,45
